,Year of car manufacture,Width,Color,kilometer driven,Transmission type,price,Body type,Length,Brand Name,Fuel type,city,Seats,Car model,Number of previous owners,Insurance Validity_value,Engine Displacement_value(cc)
606,2017,1680mm,Silver,46375,Manual,451999.99999999994,Hatchback,3610mm,Honda,Petrol,chennai,5.0,Honda Brio,2,Third Party,1198
607,2020,1520,Red,16473,Manual,484999.99999999994,Hatchback,3565,Maruti,Petrol,chennai,5.0,Maruti S-Presso,1,Comprehensive,998
608,2017,1745mm,Blue,91799,Automatic,622000.0,Hatchback,3995mm,Maruti,Petrol,chennai,5.0,Maruti Baleno,1,Comprehensive,1197
609,2016,1734mm,Red,38919,Manual,554000.0,Hatchback,3985mm,Hyundai,Petrol,chennai,5.0,Hyundai i20,3,Comprehensive,1197
610,2016,1475mm,Grey,70235,Manual,375000.0,Hatchback,3595mm,Maruti,Petrol,chennai,5.0,Maruti Wagon R,1,Comprehensive,998
611,2020,1695mm,Golden Brown,3989,Automatic,967000.0,Sedan,3995mm,Honda,Petrol,chennai,5.0,Honda Amaze,1,Third Party insurance,1199
612,2015,1695mm,TITANIUM GREY,91773,Manual,475000.0,Sedan,3995mm,Honda,Diesel,chennai,5.0,Honda Amaze,1,Comprehensive,1498
613,2019,1515,Others,60000,Manual,320000.0,Hatchback,3445,Maruti,Petrol,chennai,5.0,Maruti Alto 800,2,Third Party insurance,796
614,2018,1695mm,Silver,28906,Manual,695000.0,Sedan,3995mm,Honda,Petrol,chennai,5.0,Honda Amaze,1,Comprehensive,1199
615,2016,1600mm,Blue,150000,Manual,350000.0,Hatchback,3600mm,Maruti,Diesel,chennai,5.0,Maruti Celerio,1,Third Party insurance,793
616,2009,1710 mm,Others,70000,Manual,250000.0,Hatchback,3940 mm,Hyundai,Petrol,chennai,5.0,Hyundai i20,3,Third Party insurance,1197
617,2017,1890mm,Orange,70000,Manual,1250000.0,SUV,4585mm,Mahindra,Diesel,chennai,7.0,Mahindra XUV500,1,Comprehensive,2179
